pin_type,emergency,country,people_need.Children under 5.2020,people_targeted.Children under 5.2020,people_reached.Children under 5.2020,people_need.Children under 5.2021,people_targeted.Children under 5.2021,people_reached.Children under 5.2021,people_need.Children under 5.2022,people_targeted.Children under 5.2022,people_reached.Children under 5.2022,people_need.Pregnant and lactating women.2020,people_targeted.Pregnant and lactating women.2020,people_reached.Pregnant and lactating women.2020,people_need.Pregnant and lactating women.2021,people_targeted.Pregnant and lactating women.2021,people_reached.Pregnant and lactating women.2021,people_need.Pregnant and lactating women.2022,people_targeted.Pregnant and lactating women.2022,people_reached.Pregnant and lactating women.2022,people_need.Others.2020,people_targeted.Others.2020,people_reached.Others.2020,people_need.Others.2021,people_targeted.Others.2021,people_reached.Others.2021,people_need.Others.2022,people_targeted.Others.2022,people_reached.Others.2022,comments
PIN Nutrición,Eta-Iota,Guatemala,60600,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Eta-Iota,Honduras,504000,56000,NA,NA,NA,NA,NA,NA,NA,196000,49000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Eta-Iota,Nicaragua,97380,27000,NA,NA,NA,NA,NA,NA,NA,37884,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Honduras,304,122,NA,954,382,NA,8762,3505,NA,571,229,NA,1231,492,NA,13220,5288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Colombia,325800,201600,NA,711360,235980,NA,347400,22500,NA,126700,78400,NA,276640,91770,NA,135100,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIN Nutrición,Migration flows,Peru,10620,5760,NA,37980,860,NA,68940,5064,NA,4130,2240,NA,14770,335,NA,26810,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
